epoch,train_loss,train_error,validation_error,lr, vf0
93.00000,0.00065,0.00065,0.00093,0.00010,0.70010
94.00000,0.00064,0.00064,0.00093,0.00010,0.70010
95.00000,0.00065,0.00065,0.00092,0.00010,0.70011
96.00000,0.00064,0.00064,0.00092,0.00010,0.70012
97.00000,0.00064,0.00064,0.00093,0.00010,0.70010
98.00000,0.00065,0.00065,0.00092,0.00010,0.70012
99.00000,0.00065,0.00065,0.00092,0.00010,0.70012
100.00000,0.00065,0.00065,0.00093,0.00010,0.70009
101.00000,0.00064,0.00064,0.00092,0.00010,0.70012
102.00000,0.00064,0.00064,0.00092,0.00010,0.70012
103.00000,0.00064,0.00064,0.00093,0.00010,0.70010
104.00000,0.00064,0.00064,0.00092,0.00010,0.70010
105.00000,0.00064,0.00064,0.00092,0.00010,0.70012
106.00000,0.00064,0.00064,0.00092,0.00010,0.70010
107.00000,0.00064,0.00064,0.00092,0.00010,0.70013
108.00000,0.00064,0.00064,0.00093,0.00010,0.70009
109.00000,0.00065,0.00065,0.00091,0.00010,0.70015
110.00000,0.00066,0.00066,0.00093,0.00010,0.70008
111.00000,0.00065,0.00065,0.00092,0.00010,0.70011
112.00000,0.00064,0.00064,0.00092,0.00010,0.70013
113.00000,0.00065,0.00065,0.00092,0.00010,0.70011
114.00000,0.00064,0.00064,0.00093,0.00010,0.70008
115.00000,0.00064,0.00064,0.00091,0.00010,0.70013
116.00000,0.00064,0.00064,0.00092,0.00010,0.70011
117.00000,0.00064,0.00064,0.00092,0.00010,0.70009
118.00000,0.00064,0.00064,0.00091,0.00010,0.70012
119.00000,0.00064,0.00064,0.00091,0.00010,0.70011
120.00000,0.00064,0.00064,0.00092,0.00010,0.70011
121.00000,0.00064,0.00064,0.00092,0.00010,0.70011
122.00000,0.00064,0.00064,0.00091,0.00010,0.70013
123.00000,0.00064,0.00064,0.00091,0.00010,0.70011
124.00000,0.00064,0.00064,0.00091,0.00010,0.70011
125.00000,0.00064,0.00064,0.00091,0.00010,0.70012
126.00000,0.00064,0.00064,0.00092,0.00010,0.70010
127.00000,0.00064,0.00064,0.00091,0.00010,0.70012
128.00000,0.00064,0.00064,0.00092,0.00010,0.70010
129.00000,0.00064,0.00064,0.00091,0.00010,0.70013
130.00000,0.00063,0.00063,0.00092,0.00010,0.70011
131.00000,0.00063,0.00063,0.00091,0.00010,0.70012
132.00000,0.00064,0.00064,0.00091,0.00010,0.70011
133.00000,0.00064,0.00064,0.00092,0.00010,0.70012
134.00000,0.00064,0.00064,0.00090,0.00010,0.70012
135.00000,0.00064,0.00064,0.00091,0.00010,0.70011
136.00000,0.00063,0.00063,0.00091,0.00010,0.70011
137.00000,0.00063,0.00063,0.00090,0.00010,0.70014
138.00000,0.00063,0.00063,0.00091,0.00010,0.70010
139.00000,0.00064,0.00064,0.00092,0.00010,0.70011
140.00000,0.00063,0.00063,0.00090,0.00010,0.70013
141.00000,0.00064,0.00064,0.00092,0.00010,0.70010
142.00000,0.00063,0.00063,0.00091,0.00010,0.70013
143.00000,0.00063,0.00063,0.00091,0.00010,0.70010
144.00000,0.00063,0.00063,0.00091,0.00010,0.70012
145.00000,0.00063,0.00063,0.00090,0.00010,0.70012
146.00000,0.00063,0.00063,0.00091,0.00010,0.70011
147.00000,0.00063,0.00063,0.00090,0.00010,0.70011
148.00000,0.00063,0.00063,0.00090,0.00010,0.70011
149.00000,0.00063,0.00063,0.00090,0.00010,0.70012
150.00000,0.00063,0.00063,0.00090,0.00010,0.70010
151.00000,0.00063,0.00063,0.00091,0.00010,0.70011
152.00000,0.00063,0.00063,0.00090,0.00010,0.70011
153.00000,0.00063,0.00063,0.00090,0.00010,0.70012
154.00000,0.00063,0.00063,0.00091,0.00010,0.70009
155.00000,0.00063,0.00063,0.00090,0.00010,0.70014
156.00000,0.00063,0.00063,0.00090,0.00010,0.70010
157.00000,0.00063,0.00063,0.00089,0.00010,0.70013
158.00000,0.00064,0.00064,0.00091,0.00010,0.70010
159.00000,0.00063,0.00063,0.00090,0.00010,0.70014
160.00000,0.00063,0.00063,0.00090,0.00010,0.70010
161.00000,0.00063,0.00063,0.00090,0.00010,0.70012
162.00000,0.00063,0.00063,0.00090,0.00010,0.70016
163.00000,0.00063,0.00063,0.00091,0.00010,0.70008
164.00000,0.00063,0.00063,0.00089,0.00010,0.70014
165.00000,0.00063,0.00063,0.00091,0.00010,0.70008
166.00000,0.00063,0.00063,0.00090,0.00010,0.70012
167.00000,0.00063,0.00063,0.00090,0.00010,0.70012
168.00000,0.00063,0.00063,0.00090,0.00010,0.70009
169.00000,0.00062,0.00062,0.00089,0.00010,0.70014
170.00000,0.00063,0.00063,0.00090,0.00010,0.70009
171.00000,0.00063,0.00063,0.00089,0.00010,0.70015
172.00000,0.00063,0.00063,0.00091,0.00010,0.70009
173.00000,0.00063,0.00063,0.00089,0.00010,0.70014
174.00000,0.00062,0.00062,0.00089,0.00010,0.70011
175.00000,0.00062,0.00062,0.00089,0.00010,0.70013
176.00000,0.00062,0.00062,0.00089,0.00010,0.70011
177.00000,0.00062,0.00062,0.00089,0.00010,0.70011
178.00000,0.00062,0.00062,0.00089,0.00010,0.70012
179.00000,0.00062,0.00062,0.00088,0.00010,0.70012
180.00000,0.00062,0.00062,0.00090,0.00010,0.70008
181.00000,0.00063,0.00063,0.00089,0.00010,0.70013
182.00000,0.00062,0.00062,0.00090,0.00010,0.70008
183.00000,0.00062,0.00062,0.00088,0.00010,0.70015
184.00000,0.00062,0.00062,0.00090,0.00010,0.70008
185.00000,0.00062,0.00062,0.00088,0.00010,0.70013
186.00000,0.00062,0.00062,0.00089,0.00010,0.70011
187.00000,0.00062,0.00062,0.00088,0.00010,0.70011
188.00000,0.00062,0.00062,0.00089,0.00010,0.70011
189.00000,0.00062,0.00062,0.00088,0.00010,0.70011
190.00000,0.00062,0.00062,0.00089,0.00010,0.70011
191.00000,0.00062,0.00062,0.00089,0.00010,0.70011
192.00000,0.00062,0.00062,0.00088,0.00010,0.70012
193.00000,0.00063,0.00063,0.00089,0.00010,0.70011
194.00000,0.00062,0.00062,0.00087,0.00010,0.70012
195.00000,0.00062,0.00062,0.00088,0.00010,0.70013
196.00000,0.00061,0.00061,0.00088,0.00010,0.70009
197.00000,0.00061,0.00061,0.00088,0.00010,0.70013
198.00000,0.00062,0.00062,0.00089,0.00010,0.70009
199.00000,0.00062,0.00062,0.00089,0.00010,0.70010
200.00000,0.00062,0.00062,0.00087,0.00010,0.70014
